trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","20","0006","6 | Saint-Jacques Morinais","0","1012124"
"21561","14","0078","78 | Rennes Villejean-Université","0","1051900"
"21562","16","0078","78 | Rennes Villejean-Université","0","1052093"
"21563","18","0078","78 | Rennes Villejean-Université","0","1052773"
"21564","10","0078","78 | Rennes Villejean-Université","0","1051454"
"21565","12","0078","78 | Rennes Villejean-Université","0","1051730"
"21566","14","0078","78 | Rennes Villejean-Université","0","1051900"
"21567","16","0078","78 | Rennes Villejean-Université","0","1052093"
"21568","18","0078","78 | Rennes Villejean-Université","0","1052773"
"21569","10","0078","78 | Saint-Grégoire Betton Centre","1","1051454"
"2157","22","0032","32 | Triangle","0","1012146"
"21570","12","0078","78 | Saint-Grégoire Betton Centre","1","1051730"
"21571","14","0078","78 | Saint-Grégoire Betton Centre","1","1051900"
"21572","16","0078","78 | Saint-Grégoire Betton Centre","1","1052093"
"21573","18","0078","78 | Saint-Grégoire Betton Centre","1","1052773"
"21574","10","0078","78 | Saint-Grégoire Betton Centre","1","1051454"
"21575","12","0078","78 | Saint-Grégoire Betton Centre","1","1051730"
"21576","14","0078","78 | Saint-Grégoire Betton Centre","1","1051900"
"21577","16","0078","78 | Saint-Grégoire Betton Centre","1","1052093"
"21578","18","0078","78 | Saint-Grégoire Betton Centre","1","1052773"
"21579","10","0078","78 | Rennes Villejean-Université","0","1051454"
"2158","23","0032","32 | Triangle","0","1012656"
"21580","12","0078","78 | Rennes Villejean-Université","0","1051730"
"21581","14","0078","78 | Rennes Villejean-Université","0","1051900"
"21582","16","0078","78 | Rennes Villejean-Université","0","1052093"
"21583","18","0078","78 | Rennes Villejean-Université","0","1052773"
"21584","10","0078","78 | Saint-Grégoire Betton Centre","1","1051454"
"21585","12","0078","78 | Saint-Grégoire Betton Centre","1","1051730"
"21586","14","0078","78 | Saint-Grégoire Betton Centre","1","1051900"
"21587","16","0078","78 | Saint-Grégoire Betton Centre","1","1052093"
"21588","18","0078","78 | Saint-Grégoire Betton Centre","1","1052773"
"21589","10","0078","78 | Rennes Villejean-Université","0","1051454"
"2159","25","0032","32 | Triangle","0","1054010"
"21590","12","0078","78 | Rennes Villejean-Université","0","1051730"
"21591","14","0078","78 | Rennes Villejean-Université","0","1051900"
"21592","16","0078","78 | Rennes Villejean-Université","0","1052093"
"21593","18","0078","78 | Rennes Villejean-Université","0","1052773"
"21594","10","0078","78 | Saint-Grégoire Betton Centre","1","1051454"
"21595","12","0078","78 | Saint-Grégoire Betton Centre","1","1051730"
"21596","14","0078","78 | Saint-Grégoire Betton Centre","1","1051900"
"21597","16","0078","78 | Saint-Grégoire Betton Centre","1","1052093"
"21598","18","0078","78 | Saint-Grégoire Betton Centre","1","1052773"
"21599","10","0078","78 | Rennes Villejean-Université","0","1051370"
"216","27","0006","6 | Cesson-Sévigné Base de Loisirs","1","1046100"
"2160","27","0032","32 | Triangle","0","1045912"
"21600","12","0078","78 | Rennes Villejean-Université","0","1051656"
"21601","14","0078","78 | Rennes Villejean-Université","0","1051826"
"21602","16","0078","78 | Rennes Villejean-Université","0","1052019"
"21603","18","0078","78 | Rennes Villejean-Université","0","1052700"
"21604","10","0078","78 | Rennes Villejean-Université","0","1051454"
"21605","12","0078","78 | Rennes Villejean-Université","0","1051730"
"21606","14","0078","78 | Rennes Villejean-Université","0","1051900"
"21607","16","0078","78 | Rennes Villejean-Université","0","1052093"
"21608","18","0078","78 | Rennes Villejean-Université","0","1052773"
"21609","10","0078","78 | Saint-Grégoire Betton Centre","1","1051369"
"2161","20","0032","32 | Triangle","0","1011912"
"21610","12","0078","78 | Saint-Grégoire Betton Centre","1","1051655"
"21611","14","0078","78 | Saint-Grégoire Betton Centre","1","1051825"
